category	arxiv_id	slug	title	rationale
raw-retrieval	2605.22411	defermem	DeferMem: Query-Time Evidence Distillation via Reinforcement Learning for Long-Term Memory QA	High-recall retrieval followed by learned query-conditioned evidence distillation.
raw-retrieval	2605.27437	mgretrieval	MGRetrieval: Memory-Guided Reflective Retrieval for Long-Term Dialogue Agents	Memory-guided iterative retrieval and sufficiency stopping.
raw-retrieval	2605.30771	eywa	Eywa: Provenance-Grounded Long-Term Memory for AI Agents	Immutable evidence, derived facts, and deterministic multi-route retrieval.
raw-retrieval	2605.28062	convmemory	ConvMemory: A Lightweight Learned Memory Reranker, a Negative Attribution Result, and a Research-Preview Conflict Editor	Low-cost fused lexical-dense reranking and attribution controls.
raw-retrieval	2607.17879	ear	Exploratory and Assimilating Reflection: Reflective Recall Cycle for Long-term Memory	Iterative retrieval plus experience-based reranker adaptation.
raw-retrieval	2512.20092	memory-t1	Memory-T1: Reinforcement Learning for Temporal Reasoning in Multi-session Agents	Learned temporal retrieval and reasoning policy.
raw-retrieval	2604.18206	training-free-control	A Control Architecture for Training-Free Memory Use	Selective use of retrieved memory rather than unconditional injection.
raw-retrieval	2603.09250	recollection-familiarity	Evoking User Memory: Personalizing LLM via Recollection-Familiarity Adaptive Retrieval	Dual-process retrieval perspective relevant to lazy escalation.
raw-retrieval	2512.24601	recursive-language-models	Recursive Language Models	Programmatic query-time inspection of long external contexts.
ir-foundation	2004.04906	dpr	Dense Passage Retrieval for Open-Domain Question Answering	Canonical dense dual-encoder retrieval baseline.
ir-foundation	2004.12832	colbert	ColBERT: Efficient and Effective Passage Search via Contextualized Late Interaction over BERT	Late-interaction reranking used by strong raw-history systems.
ir-foundation	2109.10086	splade-v2	SPLADE v2: Sparse Lexical and Expansion Model for Information Retrieval	Learned sparse expansion beyond BM25 exact vocabulary.
ir-foundation	2104.08663	beir	BEIR: A Heterogenous Benchmark for Zero-shot Evaluation of Information Retrieval Models	Establishes heterogeneous zero-shot retrieval evaluation practice.
query-transformation	2212.10496	hyde	Precise Zero-Shot Dense Retrieval without Relevance Labels	LLM-generated hypothetical documents for query transformation.
query-transformation	2303.07678	query2doc	Query2doc: Query Expansion with Large Language Models	LLM query expansion directly adjacent to LazyMem predicate compilation.
query-transformation	2402.03367	rag-fusion	RAG-Fusion: a New Take on Retrieval-Augmented Generation	Multi-query generation and reciprocal-rank fusion.
adaptive-retrieval	2310.11511	self-rag	Self-RAG: Learning to Retrieve, Generate, and Critique through Self-Reflection	Adaptive retrieval and evidence critique inside generation.
adaptive-retrieval	2305.06983	flare	Active Retrieval Augmented Generation	Generation-time uncertainty-triggered retrieval.
adaptive-retrieval	2212.10509	ircot	Interleaving Retrieval with Chain-of-Thought Reasoning for Knowledge-Intensive Multi-Step Questions	Retrieval-reasoning interleaving for multi-step evidence acquisition.
